                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90811,                 1.6092,                 1.1783,                 1.3394,                0.62589,                0.65683,                0.69231,                0.35289,                0.57592,                    0.6,                0.58407,                 0.3303,                 1.4282,                 2.8519,                 1.8746,                 2.1504,             0.00066567,             0.00066567,             0.00066567
                      2,                 1.0522,                 1.8468,                 1.1964,                 1.4301,                0.76604,                0.75556,                0.78955,                0.55547,                0.72782,                0.73333,                0.75859,                 0.5266,                 1.0655,                 1.8541,                 1.3033,                 1.6827,              0.0013191,              0.0013191,              0.0013191
                      3,                 1.0017,                 1.7802,                 1.1339,                 1.3865,                 0.7439,                0.74074,                0.78968,                0.58176,                0.75134,                0.74815,                0.78969,                 0.5613,                0.98035,                   1.67,                 1.1092,                 1.6086,              0.0019594,              0.0019594,              0.0019594
                      4,                0.94592,                  1.703,                 1.0628,                 1.3537,                0.88381,                0.78885,                0.86325,                0.64841,                0.89841,                0.77778,                0.86259,                0.64373,                 0.9024,                 1.4399,                0.96143,                 1.5613,              0.0019406,              0.0019406,              0.0019406
                      5,                0.88069,                 1.6103,                0.98689,                 1.3062,                0.86202,                 0.7867,                0.87301,                 0.6885,                0.89511,                0.75858,                0.86231,                0.68131,                 0.8056,                 1.2735,                0.95463,                 1.3989,              0.0019208,              0.0019208,              0.0019208
                      6,                0.84004,                 1.5071,                0.94031,                  1.273,                0.94058,                0.79259,                0.89379,                0.70378,                0.92283,                0.77778,                0.87873,                0.69989,                0.81606,                 1.2273,                0.80631,                 1.4232,               0.001901,               0.001901,               0.001901
                      7,                0.78019,                 1.3927,                0.86312,                 1.2391,                0.94728,                0.84444,                0.89815,                0.73218,                0.94728,                0.84444,                0.89733,                0.70641,                0.68405,                 1.1615,                0.71691,                 1.3316,              0.0018812,              0.0018812,              0.0018812
                      8,                0.75641,                 1.3727,                0.82638,                 1.2232,                0.90633,                0.82222,                0.88747,                0.70998,                0.90633,                0.82222,                0.88807,                0.67882,                0.74074,                 1.2753,                0.80546,                 1.4325,              0.0018614,              0.0018614,              0.0018614
                      9,                0.71494,                 1.3299,                0.78017,                 1.2055,                0.89844,                0.86667,                0.91765,                 0.7323,                0.89844,                0.86667,                0.91231,                0.68601,                0.71504,                 1.3859,                0.73936,                 1.3582,              0.0018416,              0.0018416,              0.0018416
                     10,                0.70774,                 1.2576,                0.75954,                 1.1933,                 0.9421,                0.84368,                0.92624,                0.77999,                0.95034,                 0.8506,                0.94131,                 0.7607,                0.62915,                 1.0205,                0.61293,                 1.2449,              0.0018218,              0.0018218,              0.0018218
